question,sentence,answer
how are glacier caves formed?,A glacier cave is a cave formed within the ice of a glacier .,within the ice of a glacier
how are glacier caves formed?,A glacier cave is a cave formed within the ice of a glacier .,formed within the ice of a glacier
how much is 1 tablespoon of water,This tablespoon has a capacity of about 15 mL.,about 15 mL
how much is 1 tablespoon of water,This tablespoon has a capacity of about 15 mL.,about 15 mL
how much is 1 tablespoon of water,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.,approximately 15 mL
how much is 1 tablespoon of water,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.,approximately 15 mL
how much is 1 tablespoon of water,In Australia one tablespoon (measurement unit) is 20 mL.,20 mL
how much is 1 tablespoon of water,In Australia one tablespoon (measurement unit) is 20 mL.,20 mL
how much are the harry potter movies worth,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.",in excess of $15 billion
how much are the harry potter movies worth,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.",in excess of $15 billion
how a rocket engine works,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .",a jet engine that uses only stored propellant mass for forming its high speed propulsive jet
how a rocket engine works,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .",stored propellant
how are cholera and typhus transmitted and prevented,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.","Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms"
how are cholera and typhus transmitted and prevented,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.",drinking water or eating food that has been contaminated by the feces (waste product) of an infected person
how did anne frank die,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.",typhus
how did anne frank die,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.",typhus
how are aircraft radial engines built,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel
how are aircraft radial engines built,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.,cylinders point outward from a central crankshaft
how deep can be drill for deep underwater,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.,more than 500 feet
how deep can be drill for deep underwater,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.,more than 500 feet
how old was monica lewinsky during the affair,"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996.","Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996"
how long was frank sinatra famous,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.",from the early to mid-1940s
how much is jk rowling worth,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.",£560 million ($798 million)
how much is jk rowling worth,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.",$798 million
how big is auburndale florida,"According to the U.S Census estimates of 2005, the city had a population of 12,381.","12,381"
